Broadband Statistics Report,,,,,,,,,,
Number of Providers by Speed Tier,,,,,,,,,,
Number of Providers (Wireless or Wireline) by Download Speed Tier,,,,,,,,,,
Geography Information,,Download Speed,,,,,,,,
State Name,State Abbr,≥ 786 kbps,≥ 1.5 mbps,≥ 3 mbps,≥ 6 mbps,≥ 10 mbps,≥ 25 mbps,≥ 50 mbps,≥ 100 mbps,≥ 1 gbps
Nationwide,,"2,172","2,061","1,902","1,535","1,257",724,554,375,160
Alaska,AK,22,19,18,15,11,5,4,2,1
Alabama,AL,60,56,53,44,36,22,15,11,5
Arkansas,AR,67,59,46,36,28,11,10,4,1
American Samoa,AS,4,3,1,1,1,0,0,0,0
Arizona,AZ,65,62,56,46,36,21,14,11,6
California,CA,79,74,72,67,52,37,28,15,6
Colorado,CO,93,92,89,82,73,27,21,14,9
Connecticut,CT,18,18,18,18,16,15,13,10,4
District of Columbia,DC,16,16,16,14,12,10,9,9,4
Delaware,DE,11,11,11,11,9,5,4,4,1
Florida,FL,42,41,40,38,35,25,19,16,6
Georgia,GA,72,70,70,67,63,46,37,25,9
Guam,GU,5,5,5,5,4,1,0,0,0
Hawaii,HI,11,10,10,9,7,3,3,2,2
Iowa,IA,193,191,183,143,124,68,51,37,7
Idaho,ID,56,53,51,47,39,23,20,12,4
Illinois,IL,157,153,144,117,97,47,36,27,14
Indiana,IN,89,86,79,60,50,34,23,16,7
Kansas,KS,85,85,76,66,57,42,28,16,5
Kentucky,KY,86,79,71,59,48,28,21,13,6
Louisiana,LA,40,37,37,35,29,22,15,11,4
Massachusetts,MA,31,29,26,25,21,16,14,11,5
Maryland,MD,44,42,42,39,35,24,22,18,7
Maine,ME,34,33,31,27,19,10,8,5,2
Michigan,MI,118,109,104,80,54,28,22,14,6
Minnesota,MN,113,111,104,93,86,57,44,27,9
Missouri,MO,97,95,91,80,68,41,25,19,8
Northern Mariana Islands,MP,2,2,1,1,1,0,0,0,0
Mississippi,MS,45,45,38,30,26,19,14,8,4
Montana,MT,39,36,33,26,19,10,6,2,1
North Carolina,NC,57,57,53,52,49,31,22,15,8
North Dakota,ND,37,30,30,26,24,17,13,7,2
Nebraska,NE,70,67,66,59,52,29,24,11,6
New Hampshire,NH,30,29,27,25,20,13,11,10,7
New Jersey,NJ,25,25,24,24,23,17,15,11,6
New Mexico,NM,40,40,39,36,29,16,13,8,4
Nevada,NV,50,47,38,32,28,18,13,8,5
New York,NY,73,73,69,62,59,40,32,26,13
Ohio,OH,108,104,92,61,47,24,16,9,3
Oklahoma,OK,75,71,68,55,44,28,22,12,3
Oregon,OR,103,100,97,91,81,54,44,28,16
Pennsylvania,PA,83,79,74,65,55,33,24,17,7
Puerto Rico,PR,14,14,14,12,9,4,4,3,1
Rhode Island,RI,15,15,15,15,14,11,10,10,8
South Carolina,SC,37,37,37,35,28,18,14,7,2
South Dakota,SD,45,43,40,35,30,21,16,7,3
Tennessee,TN,72,68,63,55,45,30,25,16,8
Texas,TX,192,177,156,112,85,32,24,12,5
Utah,UT,54,54,51,50,49,34,28,24,15
Virginia,VA,47,44,43,38,35,23,18,14,5
U.S. Virgin Islands,VI,7,7,5,5,4,2,1,1,0
Vermont,VT,32,24,21,15,15,7,6,5,1
Washington,WA,83,83,82,73,67,49,38,30,20
Wisconsin,WI,97,92,89,70,62,43,25,19,6
West Virginia,WV,23,21,19,17,14,6,6,4,0
Wyoming,WY,32,31,30,25,19,10,5,3,2